company,job_title,job_location,job_duration,date_posted,url
The Washington Post,Production Technician,DC-Washington-TWP Headquarters,Full time,2022-05-06,https://washpost.wd5.myworkdayjobs.com/en-US/washingtonpostcareers/job/DC-Washington-TWP-Headquarters/Production-Technician_JR-90273366
The Washington Post,Events Coordinator,DC-Washington-TWP Headquarters,Full time,2022-05-06,https://washpost.wd5.myworkdayjobs.com/en-US/washingtonpostcareers/job/DC-Washington-TWP-Headquarters/Events-Coordinator_JR-90273315-1
The Washington Post,HR Manager,VA-Springfield-TWP Plant,Full time,2022-05-06,https://washpost.wd5.myworkdayjobs.com/en-US/washingtonpostcareers/job/VA-Springfield-TWP-Plant/Production-HR-Manager_JR-90273457
The Washington Post,Utility Mailer,VA-Springfield-TWP Plant,Part time,2022-05-06,https://washpost.wd5.myworkdayjobs.com/en-US/washingtonpostcareers/job/VA-Springfield-TWP-Plant/Utility-Mailer_JR-90273190
The Washington Post,Industrial Mechanic,VA-Springfield-TWP Plant,Full time,2022-05-06,https://washpost.wd5.myworkdayjobs.com/en-US/washingtonpostcareers/job/VA-Springfield-TWP-Plant/Industrial-Mechanic_JR-90273014
The Washington Post,Utility Mailer,VA-Springfield-TWP Plant,Part time,2022-05-06,https://washpost.wd5.myworkdayjobs.com/en-US/washingtonpostcareers/job/VA-Springfield-TWP-Plant/Utility-Mailer_JR-90273188
The Washington Post,Industrial Mechanic,VA-Springfield-TWP Plant,Full time,2022-05-06,https://washpost.wd5.myworkdayjobs.com/en-US/washingtonpostcareers/job/VA-Springfield-TWP-Plant/Industrial-Mechanic_JR-90272740
The Washington Post,Utility Mailer,VA-Springfield-TWP Plant,Part time,2022-05-06,https://washpost.wd5.myworkdayjobs.com/en-US/washingtonpostcareers/job/VA-Springfield-TWP-Plant/Utility-Mailer_JR-90273016
The Washington Post,Industrial Mechanic,VA-Springfield-TWP Plant,Full time,2022-05-06,https://washpost.wd5.myworkdayjobs.com/en-US/washingtonpostcareers/job/VA-Springfield-TWP-Plant/Industrial-Mechanic_JR-90272735
The Washington Post,Utility Worker,VA-Springfield-TWP Plant,Full time,2022-05-06,https://washpost.wd5.myworkdayjobs.com/en-US/washingtonpostcareers/job/VA-Springfield-TWP-Plant/Utility-Worker_JR-90272156
